name,code,char,include
sun,1F31E,?,Y
star,2B50,?,Y
star,1F31F,?,Y
shooting-star,1F320,?,Y
milky-way,1F30C,?,Y
cloud,2601,?,Y
sun-behind-cloud,26C5,?,Y
cyclone,1F300,?,Y
rainbow,1F308,?,Y
closed-umbrella,1F302,?,N
umbrella,2602,?,Y
umbrella,2614,?,Y
high-voltage-sign,26A1,?NY
snowflake,2744,?,Y
snowman,2603,?,Y
snowman,26C4,?,Y
fire,1F525,?,Y
droplet,1F4A7,?,Y
water-wave,1F30A,?,Y
jack-o-lantern,1F383,?,Y
christmas-tree,1F384,?,Y
fireworks,1F386,?,Y
firework,1F387,?,Y
sparkles,2728,?,Y
balloon,1F388,?,Y
party-popper,1F389,?,Y
confetti-ball,1F38A,?,Y
tanabata-tree,1F38B,?,N
pine-decoration,1F38D,?,N
dolls,1F38E,?,Y
carp-streamer,1F38F,?,N
wind-chime,1F390,?,Y
moon-viewing-ceremony,1F391,?,N
ribbon,1F380,?,Y
present,1F381,?,Y
ticket,1F3AB,?,Y
trophy,1F3C6,?,Y
soccer-ball,26BD,?,Y
baseball,26BE,?,Y
basketball,1F3C0,?,Y
football,1F3C8,?,Y
rugby-football,1F3C9,?,Y
tennis-racquet,1F3BE,?,Y
bowling,1F3B3,?,Y
flag-in-hole,26F3,?,N
fishing-pole,1F3A3,?,Y
running-shirt-with-sash,1F3BD,?,N
ski,1F3BF,?,Y
direct-hit,1F3AF,?,N
billiards,1F3B1,?,N
crystal-ball,1F52E,?,Y
video-game,1F3AE,?,Y
slot-machine,1F3B0,?,Y
dice,1F3B2,?,Y
black-spade-suit,2660,?,N
black-heart-suit,2665,?,N
black-diamond-suit,2666,?,N
black-club-suit,2663,?,N
playing-card-black-joker,1F0CF,?,N
mahjong-tile-red-dragon,1F004,?,N
flower-playing-cards,1F3B4,?,N
performing-arts,1F3AD,?,N
paint-palette,1F3A8,?,Y
eyeglasses,1F453,?,Y
necktie,1F454,?,Y
t-shirt,1F455,?,Y
jeans,1F456,?,Y
dress,1F457,?,Y
kimono,1F458,?,N
bikini,1F459,?,N
womans-clothes,1F45A,?,N
purse,1F45B,?,Y
handbag,1F45C,?,Y
pouch,1F45D,?,Y
school-satchel,1F392,?,Y
shoe,1F45E,?,Y
sneaker,1F45F,?,Y
high-heels,1F460,?,Y
sandal,1F461,?,Y
boots,1F462,?,Y
crown,1F451,?,Y
hat,1F452,?,Y
top-hat,1F3A9,?,Y
graduation-cap,1F393,?,Y
lipstick,1F484,?,Y
ring,1F48D,?,Y
gem-stone,1F48E,?,Y
speaker-with-cancellation-stroke,1F507,?,N
speaker,1F508,?,Y
speaker-with-one-sound-wave,1F509,?,N
speaker-with-three-sound-waves,1F50A,?,N
public-address-loudspeaker,1F4E2,?,N
megaphone,1F4E3,?,Y
postal-horn,1F4EF,?,N
bell,1F514,?,Y
bell-with-cancellation-stroke,1F515,?,N
musical-score,1F3BC,?,N
musical-note,1F3B5,?,Y
multiple-musical-notes,1F3B6,?,N
microphone,1F3A4,?,Y
headphones,1F3A7,?,Y
radio,1F4FB,?,Y
saxophone,1F3B7,?,Y
guitar,1F3B8,?,Y
keyboard,1F3B9,?,Y
trumpet,1F3BA,?,Y
violin,1F3BB,?,Y
cell-phone,1F4F1,?,Y
mobile-phone-with-rightwards-arrow-at-left,1F4F2,?,N
telephone,260E,?,Y
telephone,1F4DE,?,Y
pager,1F4DF,?,N
fax-machine,1F4E0,?,N
battery,1F50B,?,Y
electric-plug,1F50C,?,Y
computer,1F4BB,?,Y
minidisc,1F4BD,?,N
floppy-disk,1F4BE,?,Y
optical-disc,1F4BF,?,N
dvd,1F4C0,?,Y
movie-camera,1F3A5,?,Y
clapper-board,1F3AC,?,N
television,1F4FA,?,Y
camera,1F4F7,?,Y
video-camera,1F4F9,?,Y
videocassette,1F4FC,?,Y
magnifying-glass,1F50D,?,Y
magnifying-glass,1F50E,?,Y
light-bulb,1F4A1,?,Y
flashlight,1F526,?,Y
izakaya-lantern,1F3EE,?,N
notebook,1F4D4,?,Y
book,1F4D5,?,Y
book,1F4D6,?,Y
green-book,1F4D7,?,N
blue-book,1F4D8,?,N
orange-book,1F4D9,?,N
books,1F4DA,?,Y
notebook,1F4D3,?,Y
ledger,1F4D2,?,Y
page,1F4C3,?,Y
scroll,1F4DC,?,Y
page,1F4C4,?,Y
newspaper,1F4F0,?,Y
bookmark-tabs,1F4D1,?,N
bookmark,1F516,?,Y
money-bag,1F4B0,?,Y
banknote-with-yen-sign,1F4B4,?,N
dollar-bill,1F4B5,?,Y
banknote-with-euro-sign,1F4B6,?,N
banknote-with-pound-sign,1F4B7,?,N
money,1F4B8,?,Y
credit-card,1F4B3,?,Y
chart-with-upwards-trend-and-yen-sign,1F4B9,?,N
currency-exchange,1F4B1,?,N
heavy-dollar-sign,1F4B2,?,N
envelope,2709,?,Y
e-mail-symbol,1F4E7,?,N
incoming-envelope,1F4E8,?,N
envelope-with-downwards-arrow-above,1F4E9,?,N
outbox-tray,1F4E4,?,N
inbox-tray,1F4E5,?,N
package,1F4E6,?,Y
mailbox,1F4EB,?,Y
mailbox,1F4EA,?,Y
open-mailbox-with-raised-flag,1F4EC,?,N
open-mailbox-with-lowered-flag,1F4ED,?,N
postbox,1F4EE,?,N
pencil,270F,?,Y
pen,2712,?,Y
memo,1F4DD,?,N
briefcase,1F4BC,?,Y
file-folder,1F4C1,?,N
open-file-folder,1F4C2,?,N
calendar,1F4C5,?,Y
tear-off-calendar,1F4C6,?,N
card-index,1F4C7,?,N
chart-with-upwards-trend,1F4C8,?,N
chart-with-downwards-trend,1F4C9,?,N
chart,1F4CA,?,Y
clipboard,1F4CB,?,Y
pushpin,1F4CC,?,Y
pushpin,1F4CD,?,Y
paperclip,1F4CE,?,Y
ruler,1F4CF,?,Y
triangular-ruler,1F4D0,?,N
scissors,2702,?,Y
lock,1F512,?,Y
lock,1F513,?,Y
lock-with-ink-pen,1F50F,?,N
closed-lock-with-key,1F510,?,N
key,1F511,?,Y
hammer,1F528,?,Y
pistol,1F52B,?,N
wrench,1F527,?,Y
nut-and-bolt,1F529,?,Y
link-symbol,1F517,?,N
microscope,1F52C,?,Y
telescope,1F52D,?,Y
satellite-antenna,1F4E1,?,N
syringe,1F489,?,N
pill,1F48A,?,N
door,1F6AA,?,Y
toilet,1F6BD,?,Y
shower,1F6BF,?,Y
bathtub,1F6C1,?,Y
smoking-symbol,1F6AC,?,N
moyai,1F5FF,?,N
A T M,1F3E7,?,Y
put-litter-in-its-place-symbol,1F6AE,?,N
water-symbol,1F6B0,?,Y
wheelchair,267F,?,Y
mens-symbol,1F6B9,?,N
womens-symbol,1F6BA,?,N
restroom,1F6BB,?,Y
baby-symbol,1F6BC,?,Y
water-closet,1F6BE,?,N
passport-control,1F6C2,?,N
customs,1F6C3,?,N
baggage-claim,1F6C4,?,N
luggage,1F6C5,?,Y
warning-sign,26A0,?,Y
children-crossing,1F6B8,?,N
no-entry,26D4,?,N
no-entry-sign,1F6AB,?,N
no-bicycles,1F6B3,?,N
no-smoking-symbol,1F6AD,?,N
do-not-litter-symbol,1F6AF,?,N
non-potable-water-symbol,1F6B1,?,N
no-pedestrians,1F6B7,?,N
no-mobile-phones,1F4F5,?,N
no-one-under-eighteen-symbol,1F51E,?,N
upwards-black-arrow,2B06,?,N
north-east-arrow,2197,?,N
black-rightwards-arrow,27A1,?,N
south-east-arrow,2198,?,N
downwards-black-arrow,2B07,?,N
south-west-arrow,2199,?,N
leftwards-black-arrow,2B05,?,N
north-west-arrow,2196,?,N
up-down-arrow,2195,?,N
left-right-arrow,2194,?,N
leftwards-arrow-with-hook,21A9,?,N
rightwards-arrow-with-hook,21AA,?,N
arrow-pointing-rightwards-then-curving-upwards,2934,?,N
arrow-pointing-rightwards-then-curving-downwards,2935,?,N
clockwise-downwards-and-upwards-open-circle-arrows,1F503,?,N
anticlockwise-downwards-and-upwards-open-circle-arrows,1F504,?,N
back-with-leftwards-arrow-above,1F519,?,N
end-with-leftwards-arrow-above,1F51A,?,N
on-with-exclamation-mark-with-left-right-arrow-above,1F51B,?,N
soon-with-rightwards-arrow-above,1F51C,?,N
top-with-upwards-arrow-above,1F51D,?,N
six-pointed-star-with-middle-dot,1F52F,?,N
aries,2648,?,N
taurus,2649,?,N
gemini,264A,?,N
cancer,264B,?,N
leo,264C,?,N
virgo,264D,?,N
libra,264E,?,N
scorpius,264F,?,N
sagittarius,2650,?,N
capricorn,2651,?,N
aquarius,2652,?,N
pisces,2653,?,N
ophiuchus,26CE,?,N
twisted-rightwards-arrows,1F500,?,N
clockwise-rightwards-and-leftwards-open-circle-arrows,1F501,?,N
clockwise-rightwards-and-leftwards-open-circle-arrows-with-circled-one-overlay,1F502,?,N
black-right-pointing-triangle,25B6,?,N
black-right-pointing-double-triangle,23000000000,Err:502,Y
black-right-pointing-double-triangle-with-vertical-bar,23ED,?,N
black-right-pointing-triangle-with-double-vertical-bar,23EF,?,N
black-left-pointing-triangle,25C0,?,N
black-left-pointing-double-triangle,23EA,?,N
black-left-pointing-double-triangle-with-vertical-bar,23EE,?,N
up-pointing-small-red-triangle,1F53C,?,N
black-up-pointing-double-triangle,23EB,?,N
down-pointing-small-red-triangle,1F53D,?,N
black-down-pointing-double-triangle,23EC,?,N
eject-symbol,23CF,?,N
cinema,1F3A6,?,N
low-brightness-symbol,1F505,?,N
high-brightness-symbol,1F506,?,N
antenna-with-bars,1F4F6,?,N
vibration-mode,1F4F3,?,N
mobile-phone-off,1F4F4,?,N
female-sign,2640,?,N
male-sign,2642,?,N
black-universal-recycling-symbol,267B,?,N
trident-emblem,1F531,?,N
name-badge,1F4DB,?,N
japanese-symbol-for-beginner,1F530,?,N
heavy-large-circle,2B55,?,N
white-heavy-check-mark,2705,?,N
ballot-box-with-check,2611,?,N
heavy-check-mark,2714,?,N
heavy-multiplication-x,2716,?,N
cross-mark,274C,?,N
negative-squared-cross-mark,274E,?,N
heavy-plus-sign,2795,?,N
heavy-minus-sign,2796,?,N
heavy-division-sign,2797,?,N
curly-loop,27B0,?,N
double-curly-loop,27BF,?,N
part-alternation-mark,303D,?,N
eight-spoked-asterisk,2733,?,N
eight-pointed-black-star,2734,?,N
sparkle,2747,?,N
double-exclamation-mark,203C,?,N
exclamation-question-mark,2049,?,N
black-question-mark-ornament,2753,?,N
white-question-mark-ornament,2754,?,N
white-exclamation-mark-ornament,2755,?,N
heavy-exclamation-mark-symbol,2757,?,N
wavy-dash,3030,?,N
copyright-sign,A9,©,Y
registered-sign,AE,®,Y
trade-mark-sign,2122,™,Y
keycap-ten,1F51F,?,N
input-symbol-for-latin-capital-letters,1F520,?,N
input-symbol-for-latin-small-letters,1F521,?,N
input-symbol-for-numbers,1F522,?,N
input-symbol-for-symbols,1F523,?,N
input-symbol-for-latin-letters,1F524,?,N
negative-squared-latin-capital-letter-a,1F170,?,N
negative-squared-ab,1F18E,?,N
negative-squared-latin-capital-letter-b,1F171,?,N
squared-cl,1F191,?,N
squared-cool,1F192,?,N
squared-free,1F193,?,N
information-source,2139,?,N
squared-id,1F194,?,N
circled-latin-capital-letter-m,24C2,?,N
squared-new,1F195,?,N
squared-ng,1F196,?,N
negative-squared-latin-capital-letter-o,1F17E,?,N
squared-ok,1F197,?,N
negative-squared-latin-capital-letter-p,1F17F,?,N
squared-sos,1F198,?,N
squared-up-with-exclamation-mark,1F199,?,N
squared-vs,1F19A,?,N
squared-katakana-koko,1F201,?,N
squared-katakana-sa,1F202,?,N
squared-cjk-unified-ideograph-6708,1F237,?,N
squared-cjk-unified-ideograph-6709,1F236,?,N
squared-cjk-unified-ideograph-6307,1F22F,?,N
circled-ideograph-advantage,1F250,?,N
squared-cjk-unified-ideograph-5272,1F239,?,N
squared-cjk-unified-ideograph-7121,1F21A,?,N
squared-cjk-unified-ideograph-7981,1F232,?,N
circled-ideograph-accept,1F251,?,N
squared-cjk-unified-ideograph-7533,1F238,?,N
squared-cjk-unified-ideograph-5408,1F234,?,N
squared-cjk-unified-ideograph-7a7a,1F233,?,N
circled-ideograph-congratulation,3297,?,N
circled-ideograph-secret,3299,?,N
squared-cjk-unified-ideograph-55b6,1F23A,?,N
squared-cjk-unified-ideograph-6e80,1F235,?,N
large-red-circle,1F534,?,N
large-blue-circle,1F535,?,N
medium-black-circle,26AB,?,N
medium-white-circle,26AA,?,N
black-large-square,2B1B,?,N
white-large-square,2B1C,?,N
black-medium-square,25FC,?,N
white-medium-square,25FB,?,N
black-medium-small-square,25FE,?,N
white-medium-small-square,25FD,?,N
black-small-square,25AA,?,N
white-small-square,25AB,?,N
large-orange-diamond,1F536,?,N
large-blue-diamond,1F537,?,N
small-orange-diamond,1F538,?,N
small-blue-diamond,1F539,?,N
up-pointing-red-triangle,1F53A,?,N
down-pointing-red-triangle,1F53B,?,N
diamond-shape-with-a-dot-inside,1F4A0,?,N
radio-button,1F518,?,N
white-square-button,1F533,?,N
black-square-button,1F532,?,N
chequered-flag,1F3C1,?,N
triangular-flag-on-post,1F6A9,?,N
crossed-flags,1F38C,?,N
regional-indicator-symbol-letter-a,1F1E6,?,N
regional-indicator-symbol-letter-b,1F1E7,?,N
regional-indicator-symbol-letter-c,1F1E8,?,N
regional-indicator-symbol-letter-d,1F1E9,?,N
regional-indicator-symbol-letter-e,1F1EA,?,N
regional-indicator-symbol-letter-f,1F1EB,?,N
regional-indicator-symbol-letter-g,1F1EC,?,N
regional-indicator-symbol-letter-h,1F1ED,?,N
regional-indicator-symbol-letter-i,1F1EE,?,N
regional-indicator-symbol-letter-j,1F1EF,?,N
regional-indicator-symbol-letter-k,1F1F0,?,N
regional-indicator-symbol-letter-l,1F1F1,?,N
regional-indicator-symbol-letter-m,1F1F2,?,N
regional-indicator-symbol-letter-n,1F1F3,?,N
regional-indicator-symbol-letter-o,1F1F4,?,N
regional-indicator-symbol-letter-p,1F1F5,?,N
regional-indicator-symbol-letter-q,1F1F6,?,N
regional-indicator-symbol-letter-r,1F1F7,?,N
regional-indicator-symbol-letter-s,1F1F8,?,N
regional-indicator-symbol-letter-t,1F1F9,?,N
regional-indicator-symbol-letter-u,1F1FA,?,N
regional-indicator-symbol-letter-v,1F1FB,?,N
regional-indicator-symbol-letter-w,1F1FC,?,N
regional-indicator-symbol-letter-x,1F1FD,?,N
regional-indicator-symbol-letter-y,1F1FE,?,N
regional-indicator-symbol-letter-z,1F1FF,?,N
recycled-paper-symbol,267C,?,N
recycling-symbol-for-generic-materials,267A,?,N
recycling-symbol-for-type-5-plastics,2677,?,N
lower-right-pencil,270E,?,N
white-diamond-suit,2662,?,N
recycling-symbol-for-type-4-plastics,2676,?,N
rotated-heavy-black-heart-bullet,2765,?,N
recycling-symbol-for-type-7-plastics,2679,?,N
white-down-pointing-index,261F,?,N
ballot-box,2610,?,N
ballot-box-with-x,2612,?,N
black-snowman,26C7,?,N
recycling-symbol-for-type-6-plastics,2678,?,N
saturn,2644,?,N
white-right-pointing-index,261E,?,N
black-left-pointing-index,261A,?,N
black-right-pointing-index,261B,?,N
digit-nine,39,9,Y
white-telephone,260F,?,N
digit-eight,38,8,Y
 white-left-pointing-index,261C,?,N
jupiter,2643,?,N
pluto,2647,?,N
black-smiling-face,263B,?,N
heavy-circle-with-stroke-and-two-dots-above,26000,?,N
digit-one,31,1,Y
upper-right-pencil,2710,?,N
digit-zero,30,0,Y
digit-two,32,2,Y
digit-three,33,3,Y
asterisk,2A,*,Y
number-sign,23,#,Y
digit-seven,37,7,Y
combining-enclosing-keycap,20000,?,N
digit-six,36,6,Y
digit-four,34,4,Y
squared-saltire,26DD,?,N
digit-five,35,5,Y
mercury,263FFE0F,Err:502,Y
neptune,2646,?,N
variation-selector-16,FE0F,?,N
uranus,2645,?,N
earth,2641,?,Y
horizontal-male-with-stroke-sign,26A9,?,N
vertical-male-with-stroke-sign,26A8,?,N
universal-recycling-symbol,2672,?,N
male-and-female-sign,26A5,?,N
partially-recycled-paper-symbol,267D,?,N
interlocked-female-and-male-sign,26A4,?,N
white-club-suit,2667,?,N
recycling-symbol-for-type-1-plastics,2673,?,N
male-with-stroke-sign,26A6,?,N
male-with-stroke-and-male-and-female-sign,26A7,?,N
white-spade-suit,2664,?,N
doubled-male-sign,26A3,?,N
recycling-symbol-for-type-2-plastics,2674,?,N
recycling-symbol-for-type-3-plastics,2675,?,N
white-heart-suit,2661,?,N
doubled-female-sign,26A2,?,N
